nconst	primaryName	birthYear	deathYear	primaryProfession	knownForTitles
nm0105664	Simon Brauer	1973	\N	cinematographer,camera_department,producer	tt11859552,tt11869088,tt2631596,tt4631816
nm0107041	Catherine Brelet	\N	\N	miscellaneous,director,camera_department	tt1130884,tt0955308,tt0181689,tt2488496
nm0107167	Ferdi Brendgen	\N	\N	composer,sound_department,music_department	tt0105266,tt4378688,tt0096767,tt0096049
nm0107979	Colette Brettel	1902	\N	actress	tt0011886,tt0132682,tt0468319,tt0490515
nm0109607	Deborah Latham	1958	2015	costume_department,costume_designer	tt0097138,tt0094812,tt0365737,tt0120179
nm0109623	Babs Brinklund	\N	\N	actress	tt1808474,tt3440870,tt0148710
nm0111128	Ilona Brömmer-Weiß	\N	\N	actress	tt0065202,tt0077122,tt0172325,tt0357275
nm0111289	Günter Brombacher	\N	\N	actor	tt0078475,tt0954933,tt0095308,tt0105295
nm0111885	Bobby Brooks	\N	\N	actor	tt0037302,tt0036013,tt0036450,tt0037368
nm0111967	Douglas Brooks	\N	\N	actor	tt0045397,tt0046899,tt0043965,tt0045317
nm0112989	Alice Farwell Brown	\N	\N	writer	tt0014374
nm0114063	Lauri Brown	\N	\N	editorial_department	tt0100528,tt0102800,tt0102043,tt0095179
nm0115217	Tim Browning	\N	\N	art_department,camera_department,art_director	tt2527336,tt10539608,tt2379713,tt2488496
nm0116875	Alicia Bruzzo	1955	2007	actress	tt0231009,tt0194794,tt0111236,tt0346344
nm0117323	George Bryden	1930	2011	actor	tt0040407,tt0039897
nm0118691	Simon Buckley	1965	\N	miscellaneous,actor	tt0104940,tt0120738,tt0091369,tt2488496
nm0120003	Tommy Bull	\N	\N	assistant_director,director,actor	tt0087258,tt0095949,tt0168166
nm0120127	Alastair Bullock	\N	\N	art_department,art_director	tt3748528,tt0970179,tt1201607,tt2488496
nm0120170	Mitchell Bullock	\N	\N	art_department	tt0102882,tt0100528
nm0120603	Kosta Bunusevac	1948	2021	actor,costume_department,production_designer	tt0405758,tt0158610,tt0105233,tt0180633
nm0120848	Simon Burchell	\N	\N	visual_effects,editorial_department,miscellaneous	tt2527338,tt2488496,tt3748528,tt1201607
nm0122336	Angela Burnett	\N	\N	actress	tt0087763,tt0076263,tt0086977,tt0185031
nm0122344	Charles Burnett	1944	\N	director,writer,cinematographer	tt0100791,tt0212772,tt0087763,tt0076263
nm0122350	Daniel Burnett	\N	\N	special_effects,camera_department	tt0120738,tt2381249,tt3640424,tt2488496
nm0122430	Ronald Burnett	\N	\N	actor	tt0086977,tt0076263
nm0123505	Al Burton	\N	\N	transportation_department	tt0331811,tt1228705,tt0126886,tt2488496
nm0123580	Fredrick Burton	\N	\N	actor,art_director	tt0237199,tt0277386,tt0251412,tt0284023
nm0124753	Sérgio Guterval	\N	\N	actor	tt0258066,tt0186955,tt0256619
nm0124759	Lindelani Buthelezi	\N	\N	actor,miscellaneous	tt0275611,tt0387057,tt0361715,tt0117396
nm0127073	Gabriela Glass	\N	\N	miscellaneous,producer,actress	tt0295701,tt0311429,tt0360139,tt0408985
nm0127169	Michael Böttger	\N	\N	art_department	tt6436726,tt0192255,tt0342272,tt0396171
nm0127616	Oyanka Cabezas	1971	\N	costume_department,actress,make_up_department	tt2801316,tt0115832,tt1581322,tt0100546
nm0127977	Tonino Cacciottolo	\N	\N	sound_department,special_effects	tt0178544,tt0055022,tt0062682,tt0062397
nm0128389	Robson Caetano	1964	\N	actor	tt6816012,tt0136758,tt0316977,tt12375196
nm0130100	Kenny Call	\N	\N	actor,stunts,miscellaneous	tt0087985,tt0093605,tt0120891,tt0088172
nm0130337	Ann Hampton Callaway	1958	\N	music_department,soundtrack,actress	tt0106080,tt1935089,tt0343737,tt0408985
nm0130518	Michael Callin	\N	\N	actor	tt0039897
nm0130841	Vane Calvert	1876	1956	actress	tt0027015,tt0027289,tt0027199,tt0140570
nm0131019	Alexander Calzatti	\N	\N	camera_department,cinematographer	tt0108510,tt0116031,tt0100528,tt0058604
nm0131236	Cinira Camargo	1952	\N	actress	tt0202770,tt0241848,tt0437524,tt0259912
nm0134295	Elvisio Cannori	\N	\N	actor,stunts	tt0087258
nm0134597	Renzo Cantini	\N	\N	actor,miscellaneous	tt0117658,tt0115899,tt0323332,tt0117364
nm0135396	Jose Capote	\N	\N	actor	tt0235935,tt0383241,tt0121008
nm0136508	Gianfranco Cardinali	\N	\N	actor	tt0128121,tt0068488,tt0074520,tt0129320
nm0137402	Johelen Carleton	\N	\N	actress	tt0087985
nm0138335	Ioan Cãrmãzan	1948	\N	director,writer,actor	tt9233624,tt0265844,tt0106523,tt0878135
nm0138831	Merilyn Carney	\N	\N	actress	tt0100528,tt0168340
nm0139770	Karen Carr	\N	\N	actress	tt0068853,tt0202179,tt0078704,tt0072471
nm0139880	Thomas Carr	\N	\N	actor	tt0074991
nm0140358	Herbert Carrick	\N	\N	actor	tt0022229
nm0141437	Rick Carter	1952	\N	production_designer,art_director,art_department	tt0499549,tt2488496,tt0107290,tt0443272
nm0142195	Peggy Cartwright	1912	2001	actress	tt0011459,tt0022229,tt0011762,tt0015050
nm0142270	Alessio Caruso	1961	\N	actor	tt0434845,tt1047931,tt0115899,tt0325011
nm0143545	Steven Michael Casey	\N	\N	art_department,art_director,production_designer	tt0462284,tt0100528,tt0097455,tt0100172
nm0143582	Curtis Cash	\N	\N	editorial_department	tt0100528
nm0143621	Tabatha Cash	1973	\N	actress,executive	tt0204866,tt0114227,tt1394359,tt0273853
nm0143848	Dean Casper	1918	1997	actor	tt0068853,tt0112641,tt0071115,tt0065407
nm0143861	Ute Casper	\N	\N	director,producer,writer	tt0498499,tt0126421,tt2764556,tt1917902
nm0143987	Lino Cassar	\N	2012	actor,miscellaneous	tt0819824,tt0087258
nm0143993	Tony Cassar-Darien	\N	\N	actor	tt0096583,tt0087258
nm0144850	Carlota Castellán	\N	\N	actress	tt0077301
nm0145401	Chris Castor	1896	1986	actress	tt0378488,tt0413591,tt0043860,tt0396370
nm0145565	Isabelita Castro	\N	\N	actress,soundtrack	tt0037906,tt0037361
nm0146989	Gérard Cavat	\N	\N	producer,production_manager,transportation_department	tt0305975,tt7633516,tt0365737,tt6109080
nm0147609	Emilio Cecchi	1884	1966	writer,producer,director	tt0034787,tt0023729,tt0023645,tt0023736
nm0148130	Liliana Celli	\N	\N	make_up_department,actress	tt0178544,tt0058938,tt0051363,tt0046159
nm0149266	Moshoeshoe Chabeli	\N	\N	actor	tt0387057,tt0389892,tt1937504,tt0326208
nm0149885	C.H. Chaldecotte	\N	\N	actor	tt0014702
nm0150386	Lowell Chambers	1932	2019	set_decorator,art_department	tt0076984,tt0087985,tt0077215,tt0071054
nm0151564	Julia Channel	1973	\N	actress	tt0128425,tt0281340,tt1394359,tt0311047
nm0151675	Dar-lung Chang	\N	\N	actor,cinematographer,editor	tt1682949,tt0112808,tt0212423
nm0152298	Azure Chapman	\N	\N	costume_department,costume_designer,production_designer	tt0455824,tt0118929,tt2246831,tt5136686
nm0154728	Chemi Che-Mponda	1964	\N	actress,miscellaneous	tt0480032,tt3854690,tt1232200,tt0236461
nm0155845	Pyotr Cherkashin	1961	1994	actor	tt12509742,tt5358856,tt1538505,tt1721108
nm0155922	Jay Chernis	1906	1996	music_department,composer,soundtrack	tt0037361,tt0035972,tt0030977,tt0037399
nm0156072	Eugene Cherry	\N	\N	actor	tt0076263,tt0086977,tt0087763,tt0206284
nm0156107	Ray Cherry	\N	\N	actor	tt2075348,tt0076263,tt0073165
nm0157160	Mary Chibwana	\N	\N	actress	tt0236461,tt0091571
nm0157191	Dan Chichester	\N	\N	costume_department	tt0070142,tt0077975,tt0081534,tt0087985
nm0158158	Vasile Chirita	\N	\N	writer	tt0075067,tt0129898,tt0130022,tt0130023
nm0158336	Chitra	\N	\N	actress	tt0390653,tt0140370,tt0232529,tt4763290
nm0158579	Krystyna Chmielewska	1941	1998	actress	tt0061476,tt0079953,tt0062528,tt0110865
nm0159529	Ranjit Chowdhry	1955	2020	actor,writer	tt0303785,tt0174480,tt0408985,tt0455275
nm0159599	Omar Chraibi	\N	\N	production_manager,director,writer	tt0758774,tt0365737,tt0440963,tt0947810
nm0159787	Harley Christensen	\N	\N	camera_department,actor	tt0095253,tt0100114,tt0087985,tt1007945
nm0159988	Barron Christian	1945	\N	actor,producer,executive	tt1283275,tt1240906,tt1651058,tt1520870
nm0161568	Maria Chwalibóg	1933	\N	actress	tt0055153,tt0082625,tt0074251,tt0049077
nm0162134	Anna Ciepielewska	1936	2006	actress	tt0049887,tt0073493,tt5828204,tt0055153
nm0162173	Shirl Cieutat	\N	2018	actress	tt0075166,tt0288023,tt0408985
nm0162475	Mercedes Cinos	\N	\N	actress	tt0077301
nm0163867	Dolores Clark	\N	\N	actress	tt0068853,tt0066689
nm0163990	Greydon Clark	1943	\N	director,actor,writer	tt0078778,tt0087258,tt0074214,tt0109545
nm0164002	Harry J. Clark	\N	\N	miscellaneous	tt7253506,tt0114069
nm0164785	Gypsy Clarke	\N	\N	actress	tt0014846
nm0166359	David Clennon	1943	\N	actor	tt0084787,tt0084335,tt2267998,tt0365737
nm0167282	St. John Legh Clowes	1907	1951	writer,director,producer	tt0039897,tt0025197,tt3902866,tt0040647
nm0167755	David Robert Cobb	\N	\N	producer,assistant_director,actor	tt0114170,tt0100772,tt0100528,tt0100343
nm0168543	Ann Codrington	1894	1982	actress	tt0043860,tt0168046,tt4446666,tt0177852
nm0168807	Philippe Coeytaux	\N	\N	producer,production_manager,location_management	tt0365737,tt11102814,tt6568868,tt15479692
nm0168813	Francesca Romana Cofano	\N	\N	costume_designer,costume_department	tt0204820,tt0063485,tt0063679,tt0178544
nm0169106	Fain M. Cogrove	\N	\N	actor	tt0074991
nm0170156	Mensur Colakovic	\N	\N	assistant_director,actor,production_manager	tt0082441,tt0083089,tt0180939,tt0320928
nm0172132	Ann Collins	\N	\N	editor,editorial_department,producer	tt7253506,tt9346948,tt4382330,tt0191923
nm0173101	Fernando Colomo	1946	\N	director,writer,actor	tt0109075,tt0076824,tt0484064,tt4125220
nm0173376	Todd Colombo	\N	\N	editorial_department	tt3986978,tt0067327
nm0173726	Francesca Comencini	1961	\N	director,writer,assistant_director	tt1371700,tt0373930,tt0799911,tt0087912
nm0173912	Julia Comodo	\N	\N	actress,production_manager	tt0792983,tt0136758
nm0178134	Jay Cooper	\N	\N	visual_effects	tt2488496,tt0293564,tt0499549,tt1408101
nm0178851	Josie Coppini	\N	\N	actor	tt0094750,tt0093276,tt0087258
nm0179269	Chris Corbould	1958	\N	special_effects,assistant_director,director	tt2488496,tt0381061,tt0468569,tt1375666
nm0179873	Paola Corinti	\N	\N	actress,assistant_director	tt0062938,tt0178544,tt1320174,tt0063466
nm0180470	Cavin Cornwall	\N	\N	actor,miscellaneous,special_effects	tt3778644,tt2527338,tt2488496,tt1707386
nm0181428	Patrizia Corti	\N	\N	actress	tt0094839,tt0115899,tt0106503,tt0122701
nm0181750	Gianni Coscia	\N	\N	composer,actor,editor	tt0373930,tt0118598,tt2846912,tt0476671
nm0183419	Delphine Coulin	\N	\N	writer,miscellaneous,director	tt0269892,tt4699444,tt3399024,tt1860152
nm0183421	Muriel Coulin	\N	\N	camera_department,cinematographer,director	tt0108394,tt0269892,tt4699444,tt1860152
nm0183699	David Courier	\N	\N	actor	tt0048845,tt0115380,tt0132914,tt0116260
nm0184865	Robert Cowper	\N	\N	art_director,art_department,production_designer	tt2488496,tt0440963,tt3659388,tt3748528
nm0185095	John Cox	\N	\N	art_department,miscellaneous	tt0100528,tt3369158,tt0111442
nm0185494	Christopher Cozier	1931	2007	actor	tt0030518,tt0030231,tt0031334
nm0185495	Eugene Cozier	1933	1947	actor	tt0030231,tt0029336,tt0030518,tt0029064
nm0185496	Joan Cozier	1927	\N	actress	tt0039192,tt0030518
nm0185497	Joe Cozier	1929	\N	actor	tt0027563,tt0026966,tt0031334,tt0030518
nm0186836	John Crawford	\N	\N	stunts	tt0100528,tt0102210,tt0112418
nm0187115	John Creamer	1914	1987	actor	tt0058855,tt0073092,tt0074991,tt0078766
nm0187453	Vincent M. Cresciman	\N	\N	production_designer,art_director,art_department	tt0093378,tt0067328,tt0087985,tt0092272
nm0187777	Knox Crichton	1907	1980	actor	tt0066953,tt0175702,tt0417246,tt0039897
nm0188655	Carolina Cromstedt	\N	\N	actress	tt0447771,tt0371448,tt0137502
nm0189803	Elliot Crown	\N	\N	actor	tt2558248,tt1522309,tt0176357,tt2041381
nm0190309	Fausto Ferrer Cruz	\N	\N	special_effects,transportation_department	tt0100442,tt0240470,tt0097028,tt0099871
nm0191248	Alison Cuffe	\N	\N	actress	tt0105493,tt0350050,tt0101121,tt0127282
